,model,price,spec_score,processor,core_threads,ram,ssd,graphics,display,os,extra_info
193,Lenovo E41-55 82FJ00BLIH Laptop (Athlon 3050U/ 4GB/ 256GB SSD/ Win10),"₹20,990",51,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,AMD Radeon AMD,"14 inches, 1366 x 768 pixels",Windows 10 OS,1 Year Warranty
194,Dell Inspiron 5620 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 2GB Graph),"₹98,450",69,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce MX570,"16 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
195,Acer Aspire 7 A715-51G UN.QGCSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹73,990",76,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
196,Asus VivoBook 14 X415EA-EK522WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹49,490",65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Intel UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
197,Dell Alienware M15 R7 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,68,990",84,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
198,Asus Vivobook 16X M1603QA-MB512WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),"₹54,990",68,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7,"16 inches, 1200 x 1920 pixels",Windows 11 OS,1 Year Warranty
199,Acer Extensa EX215-31 Laptop (Pentium N5030/ 8GB/ 256GB SSD/ Win11),"₹24,990",50,Intel Pentium  N5030,Quad Core,8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD 605,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
200,Asus Vivobook 15 2022 X1502ZA-EJ514WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹56,990",62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
201,Asus VivoBook 15 X1500EA-EJ522WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹46,890",56,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
202,Lenovo IdeaPad 3 82KU017KIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹45,278",57,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
203,Dell G15-5521 D560897WIN9S Gaming Laptop (12th Gen Core i9/ 16GB/ 1TB SSD/ Win 11/ 6GB Graph),"₹1,38,990",71,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,1 TB SSD,8 GB NVIDIA GEFORCE RTX 3070 Ti,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
204,Dell Inspiron 5420 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹79,490",57,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB  RAM,512 GB SSD,Intel Integrated Iris,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
205,HP 255 G8 6X4B2PA Laptop (AMD Athlon 3050/ 4GB/ 256GB SSD/ DOS),"₹21,633",,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,‎AMD Integrated,"15.6 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
206,Asus Vivobook 15 OLED X1505ZA-L1511WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹67,499",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
207,Microsoft Surface Laptop 5 13.5 inch (12th Gen Core i5/ 8GB/ 256GB SSD/ Win11),"₹98,990",50,12th Gen Intel  Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB  RAM,256 GB SSD,Intel Iris Xe,"13.5 inches, 2256 x 1504 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
208,Infinix INBook X2 Plus XL25 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),"₹34,990",45,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
209,Infinix INBook X2 Plus XL25 Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),"₹57,990",59,11th Gen Intel Core i7 1195G7,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
210,Infinix INBook X2 Plus XL25 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),"₹47,990",49,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
211,Honor MagicBook 14 M-WFQ9AHNE Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),"₹44,990",59,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
212,HP Victus 15-fa0092TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹81,990",69,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
213,HP ProBook 440 G8 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹51,990",56,Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
214,Lenovo Legion 5 82RB00K8IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,41,990",86,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
215,Dell Inspiron 3520 D560879WIN9S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹65,990",62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
216,HP Omen 16-n0091AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹1,15,903",69,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050Ti,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
217,MSI Modern 15 B12M-202IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹55,490",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
218,Lenovo Legion 5 Pro 16IAH7H 82RF00DYIN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,64,990",84,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
219,Asus Vivobook Pro 15 OLED M3500QC-L1461WS Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹98,500",69,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4  RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
220,Lenovo V15 82C3001VSP Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),"₹21,999",51,Intel Celeron  N4020 ,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
221,Dell Inspiron 5320 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹76,490",66,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,"13.3 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
222,Asus TUF Gaming A15 2022 FA506QM-HN008W Gaming Laptop (AMD Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹89,990",75,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
223,Lenovo E41-55 AMD Laptop (Athlon Pro 3045B/ 8GB/ 1TB HDD/ Win11),"₹22,999",44,AMD Athlon Pro 3045B,"Dual Core, 2 Threads",8 GB  RAM,1 TB Hard Disk,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
224,Asus VivoBook 14 2022 X1402ZA-EK391WS Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),"₹38,990",60,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
225,Lenovo IdeaPad 3 82KU00LQIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Windows 10 Home),"₹46,990",55,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
226,Lenovo V15 G2-ITL Business Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹48,999",56,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
227,Lenovo IdeaPad Gaming 3 82K1019BIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹68,989",71,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
228,MSI Gaming Katana GF76 11SC-847IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹55,990",72,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
229,MSI Katana GF66 12UD-640IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹77,990",76,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
230,MSI Thin GF63 12HW-004IN Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹54,990",60,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated ARC,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
231,Lenovo IdeaPad Gaming 3 82SA00B2IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹1,05,990",79,12th Gen Intel Core i5 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
232,Lenovo IdeaPad Slim 5 82LN00JSIN Laptop (Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),"₹64,990",68,5th Gen AMD Ryzen 7  5700U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
233,MSI Pulse GL66 12UEK-898IN Gaming Laptop (12th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,35,000",75,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,2 Year Warranty
234,Chuwi HeroBook Air Laptop (Intel Celeron N4020/ 4GB/ 128GB SSD/ Win11),"₹15,990",42,Intel ‎Celeron N4020,"Dual Core, 2 Threads",4 GB  RAM,128 GB SSD,Intel HD Graphics,"14.1 inches, 1366 x 768 pixels",Windows 11 OS,1 Months Warranty
235,MSI Vector GP66 12UEO-646IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,34,000",85,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
236,Lenovo IdeaPad Slim 3 81X800LCIN Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹33,990",49,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
237,MSI Modern 14 B5M-242IN Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹44,290",59,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Radeon,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
238,HP Envy x360 13-bf0059TU Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,02,123",68,12th Gen Intel Core i7 1250U,"10 Cores, 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris X Graphics,"13.3 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
239,Asus ZenBook Pro Duo 14 OLED 2022 UX8402ZE-M711WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹1,59,990",81,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"14.5 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
240,Dell Vostro 3425 D552305WIN9BE Laptop (AMD Ryzen 3 5425U/ 8GB/ 256GB/ Win11 Home),"₹38,663",59,5th Gen AMD Ryzen 3  5425U,"Quad Core, 8 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
241,Lenovo Ideapad Slim 3 82H802KVIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹55,490",59,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris XE Graphic,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
242,Dell Vostro 3425 D552309WIN9BE Laptop (AMD Ryzen 3 5425U/ 8GB/ 512GB/ Win11 Home),"₹38,990",61,5th Gen AMD Ryzen 3  5425U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
243,Acer Extensa EX215-54 NX.EGJSI.00N Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹40,990",59,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
244,HP Pavilion 15s-FR5007TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹59,490",59,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
245,Lenovo Ideapad Slim 3i 81WQ00NXIN Laptop (Intel Celeron N4020/ 8GB/ 256GB SSD/ Win11),"₹28,980",49,Intel Celeron  N4020,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
246,Asus Vivobook 15 2022 X1502ZA-EJ302WS Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹40,990",51,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
247,HP 15s-ey1508AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11 Home),"₹29,990",55,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon Radeon,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
248,MSI Thin GF63 11UC-866IN Gaming Laptop (11th Gen Core i7/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹65,590",69,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,2 Year Warranty
249,Asus Vivobook Pro 15 OLED M6500IH-L1701WS Laptop (Ryzen 7-4800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹64,990",68,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 Max Q,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
250,Lenovo IdeaPad Slim 3 82KU017EIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹48,990",65,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
251,Lenovo Ideapad Gaming 3 82K201UKIN Laptop (Ryzen 7 5800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹77,850",67,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
252,Lenovo IdeaPad 3 14ITL6 82H701DYIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",50,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
253,Dell Latitude 5320 Business Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Windows 10 Pro),"₹1,02,400",62,Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"13.3 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
254,MSI Thin GF63 11UC-867IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹56,990",67,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,2 Year Warranty
255,HP 15s-fr2514TU Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Windows 11 Home),"₹38,499",44,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
256,Asus Zenbook Flip 14 OLED UP5401ZA-KN501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹85,990",65,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
257,Acer Aspire 3 A315-23 UN.HVTSI.013 Laptop (Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11 Home),"₹26,990",54,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
258,HP 15s-dr3506TU Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win 11 Home),"₹43,990",61,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
259,HP 14s-fq0568AU Laptop (AMD Athlon 3050U/ 8GB/ 256GB SSD/ Win11 Home),"₹25,758",50,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon AMD,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
260,HP 15s-du3614TU Laptop (11th Gen Core i3/ 8GB/ 1TB 256 SSD/ Win11 Home),"₹40,390",61,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
261,HP 15s-eq1560AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",61,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
262,Dell Inspiron 3525 Laptop (AMD Ryzen3 5425U/ 8GB/ 512GB SSD/ Win11),"₹40,663",63,5th Gen AMD Ryzen 3 5425U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
263,Lenovo IdeaPad Gaming 3 82K10198IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹54,451",68,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
264,Acer Predator Helios 500 Ph517-52 Gaming Laptop (11th Gen Core i9/ 64GB/ 2TB SSD/ 1TB HDD/Win10 Home/ 16GB Graph),"₹4,32,159",97,11th Gen Intel Core i9 11980HK,"Octa Core, 16 Threads",64 GB DDR4 RAM,1 TB Hard Disk,2 TB SSD,16 GB NVIDIA GeForce RTX 3080,"17.3 inches, 3840 x 2160 pixels",Windows 10 OS
265,Lenovo Ideapad Gaming 3 82K201UNIN Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹90,700",75,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
266,Lenovo IdeaPad Slim 3 82H701DNIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹37,700",48,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
267,Dell Vostro 5625 laptop (Ryzen 5-5625U/ 8GB/ 512GB SSD/ Windows 11),"₹57,990",71,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
268,HP Pavilion 14-eh0024TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win 11),"₹91,990",74,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
